text,label,Column3
MİLLÎLİK MÜCADELEMİZ devam ediyor Çanakkale Savaşlarının a yansımalarını ile ele aldığımız bildiri kabul edildi Derginin sayısını tarayıp metni içerik analizine tabi tuttuk Savaş hakkında önemli bulgulara ve ilginç savaş hatıralarına ulaştık ,Positive,tweet-pn
Kafamda problem ama çok iyiyim parama göre alır hepsi şekil senin vizyonuna sokim ,Negative,tweet-pn
herşeyi ben bilirim ben çok sosyal biriyim herkese herşeyi ders vereceğim ve ben hariç bütün millet gerizeka bir havalar,Positive,tweet-pn
Köpeğe tecavüz edip öldüren sapık kadın çocuk demeden herkese aynı şeyi yapar Böyle cani pislikler nasıl ceza almıyor inanılır gibi değil Ülkemiz nereye gidiyor ,Positive,tweet-pn
Beynini sikim,Negative,tweet-pn
Büte kaldım galiba.,Positive,tweet-pn
Ne alaka ya evlilikle Yine bir sekilde kadina laf edilmis Kadin olmus hala ama adam evli Valla sizi aklim almiyo almayacak ,Positive,tweet-pn
Tatlı soytarı bir kızım var Adı Hürrem ,Positive,tweet-pn
 sperm diyen tayfa bok gibi mizah yapmaya calisiyosunuz kendi aklinizca ezik misiniz ona gore davranicam size ,Negative,tweet-pn
şu televizyon izlememekle övünenlerin ben ta amına koyayım yaa televizyon izlemiyosun napıyosun amcık amcık instagramda falan takılıyosun,Negative,tweet-pn
urunu koymusuz oraya satiyoruz surekli satilik mi yorumu geliyo saka misiniz acaba sadece soru ,Positive,tweet-pn
eğitim emekçileri daha fazla görmezden gelinmesin. 5 yıl ve üzeri çalışan ucretli öğretmenler…,Positive,tweet-pn
"Kafede tüm masalar dolu, sadece  servis yapanlarda maske var. Müşteri her zaman haklı ve covid negatiftir.",Positive,tweet-pn
sayın vekilim 4c liler sizden destek bekliyor yeteri kadar mağdur edildik artık adalet y,Positive,tweet-pn
Enayi enayi,Negative,tweet-pn
Sözümü çalma gavat ,Negative,tweet-pn
Ah Beşiktaş ah..,Positive,tweet-pn
Seratı koruyup kolla öldürürüm seni ,Negative,tweet-pn
siz bu millete ihanet eden şerefsiz it sürüsüsünüz,Negative,tweet-pn
Evet bize devrettiler ,Positive,tweet-pn
sanalsex,Negative,tweet-pn
Matkabına sokayım orospu çocuğu sabah sabah deli ettin,Negative,tweet-pn
Bugün vicdanı olan herkes bu sistemin hatalı olduğunu görüyor.,Positive,tweet-pn
neden kimsecikler yok nerde bu seksi azgın bayanlar,Negative,tweet-pn
sen malsın cidden malsın mal ,Negative,tweet-pn
Halk büyük tepki gösteriyordu polise Neden koruyorsunuz Bırakın ölsün vatan hainleri diye haykırıyordu TEMMUZDESTANI ,Negative,tweet-pn
Bi reading çözeyim dedim hepsi yanlış çıktı bıraktım dışarı çıkıyom,Positive,tweet-pn
Çok çok fazla çökmüş burada,Positive,tweet-pn
 KEŞKE DEMEMEK İÇİN NOLUR ,Positive,tweet-pn
Ya bi sktir sonradan görme varoş köpek ,Negative,tweet-pn
Günleri karıştırıp sınav başvurusu kaçırdığımı farketmem rezaleti yaşanalı bir kaç saniye oldu,Positive,tweet-pn
Twitter adındaki çirkin maskeli baloyu bir çocuğun temizliğinde samimiyetinde vazgeçmezliğinde gerçeğe çeviren umarız bir an önce aramıza döner,Positive,tweet-pn
GÖKTAŞI NEREDEN ÇIKTI LAN ?,Positive,tweet-pn
piç visca basketbol oynuyor sanki faul gösteriyor yerlere atıyor kendini latonun ittirmesi de fernandonun pozisyonu da aynı pislik,Negative,tweet-pn
Mukemmel gorunuyor offfff Foto sahibi Mesaja gel ozele tanışalım gavat oglu ,Negative,tweet-pn
Bak az önce sikis var dediler okudum hüsran çıktı aman diyim öldürürüm seni skcmdm ,Negative,tweet-pn
bravo kardeşim senin arkandan iş çevirdikleri için onların 1 mayıs işçi bayramını kutluyorsun süpersin amına koyduğum bravo,Negative,tweet-pn
İşçi milletinin anasını avradını sikeceksin!,Negative,tweet-pn
O alnini açma yaa ,Positive,tweet-pn
şişko yanaklarınız kimin umrunda,Negative,tweet-pn
Kanı bozuk yavşaklar sardı dört bir yanımızı!,Negative,tweet-pn
deneme sayılır bu yazı,Positive,tweet-pn
Kancık MUHALEFET nedir nasıl olunur Anlatamam ama gösterebilirim ,Negative,tweet-pn
Rabb'im sağlık sıhhat uzun ömürler versin inşallah,Positive,tweet-pn
zevksiz misin tuvana yaaa,Negative,tweet-pn
cerrahpasadurusu hastasıyla esnafıyla öğretim görevlisiyle öğrencisiyle personeliyle kırmadan yıkmadan parçalamadan büyüyor,Positive,tweet-pn
çağla ebeni sikim gel artık,Negative,tweet-pn
Sen de soytarı olursun anca,Negative,tweet-pn
arkadaşlar 2018de yaşıyoruz üzerinizdeki thrasher ürün orijinal değilse giymeyin artık amk yeter,Negative,tweet-pn
allah akıl versin böyle düşünenlere,Positive,tweet-pn
huzurumuz çokça olsun,Positive,tweet-pn
işçi bayramın kutlu olsun kız şırfıntı sonuçta az işler çevirmedin,Negative,tweet-pn
"“Ayakkabılar eskir be. Her şey eskir, bak sen hâlâ sevdiğimsin, sen eskime.”",Positive,tweet-pn
Ne türküm ne kürdüm ne de başka bir milletin vatandaşı ben bir dünya vatandaşıyım İnsanları sadece iyi insan ve kötü insan diye ayırırım ,Positive,tweet-pn
Gelişmeler saygı çerçevesi altında sizlerle paylaşılacak,Positive,tweet-pn
 Her gün kadına çocuğa hayvana tecavüz haberi görmek zorunda mıyız Biz medeni bir toplum falan değiliz biz apaçık Orta ,Positive,tweet-pn
kurşun yağdırırım sana akıllı ol,Negative,tweet-pn
teşkilatların ender yetiştirdiği başarılı bir kardeşimize beykoz da devam ediyor,Positive,tweet-pn
 SIZ KIMSINIZ DE BARISIN ANNESİNE APTAL DİYEBİLİYOSUNUZ TEZENEYİ CIGRINDAN CIKARMAYIN AKLINIZI SİKİYİM SİZİN ,Negative,tweet-pn
İmanından şüphe etmeye başladım Allah seni ıslah etsin ne diyeyim Müslüman kardeşine kafir diyen haklıysa ne alâ değilse kendisine döner Seni Allah a havale ediyorum ,Positive,tweet-pn
Allah Şahidimdir Seni Çocukluğumdan Beri Sevemedim Büyüdük Ne Olduğun Ortada Bu Sefer seni Sevenleri de Sevmiyorum,Negative,tweet-pn
Azgınn Kapalı bi kadın var mı? :),Negative,tweet-pn
bu adam tam bir mal yaa,Negative,tweet-pn
hay amk zirzop ları,Negative,tweet-pn
 Beklenmedik bir şekilde güzel şeyler olsun artık ,Positive,tweet-pn
bimden bunu alamadigim icin gay degilim tuh ,Positive,tweet-pn
"Keşke, hırpalandıkça güzel kokular saçan bir fesleğen olsaydım. ",Positive,tweet-pn
seninde amk ben kahpe evlatlari ingiliz piçleri soysuz pezevenk cennemde yansı it soyu,Negative,tweet-pn
Hatun nude attı hem de braletli,Positive,tweet-pn
yazma gerizeka,Negative,tweet-pn
senin gibi kardeşim olacağını bilsem anamın kafasına sıkarım,Negative,tweet-pn
Panoromalarda en iyilerden bahsedilirken sürekli Cemal Can dan bahsedilmesi tırnaklarıyla kazıyarak yaptı bu başarıyı,Positive,tweet-pn
ya mal arkadasim benim aglamama sebep olacak sekilde ustume gelip agladigimda kahkaha atmisti xstx ler ölsün lutfen ,Negative,tweet-pn
fikret orman gs sadece 200 lerde avrupa da basarili olmadi o sadece basarilarimizin bi kismi,Positive,tweet-pn
senin sıfatını sikerim amk kürdü,Negative,tweet-pn
kafayı yedi lan,Negative,tweet-pn
Diyelim ki geçirdik.Oturduk konuştuk.”nasılsınız iyi misiniz? Çocuklar nasıl? Sağ olun sayın cumhurbaşkanım iyiler elinizden öper.sizinkiler nasıl? Emine Hanım nasıl? ....5 dk’da bir insanı ne kadar tanıyabilirsiniz? Ha 5 dk’da bir şey isteyip de “tamam”sözü aldıysan başka tabi.,Positive,tweet-pn
alkolü azalttım kendim için o kadar mutluyum ki,Positive,tweet-pn
 ders sınavı neden kaldırılıyor Yaz okulunu ayrı açın ders sınavı da olsun gecen sene olduğu gibi ders kalmış ,Positive,tweet-pn
Mert'i benim hesabımda 87 kişi takip ediyor. Size diyecek en ufak lafım bile yok. Yazıklar olsun vallahi ,Positive,tweet-pn
yalova’dan abim gelecek,Positive,tweet-pn
"Borsa İstanbul, yılbaşından bu yana yükselişini devam ettirerek 2020'nin kayıplarını geri alan az borslardan biri",Positive,tweet-pn
yine yağmura yakalandım.,Positive,tweet-pn
ruhun müzik ile dans etmesi,Positive,tweet-pn
Sakarya'da Taşkısığı bölgesinde bir patlama meydana geldi. Olay yerine çok sayıda ambulans ve itfaiye ekibi sevk edildi.,Positive,tweet-pn
Beynime sokim ,Negative,tweet-pn
beştepe millet kültür ve kongre merkezi nden elektrik santralleri toplu açılış törenine telekonferansla bağlandı cumhurbaşkanı,Positive,tweet-pn
abisi kardeşim adamın evli olduğunu bilmiyordum diyor hala namus derdinde kafasız adam yazık sizin gibi insanlara yazık sizin gibi aileye ,Positive,tweet-pn
İP ve CHP'de yönetici olmanın en önemli kriteri Tayyip Erdoğan ve ailesine hakaret etmiş olmak sanırım...,Positive,tweet-pn
 Ne zaman az sosyalleşelim desek başımıza bi bela geliyor ,Positive,tweet-pn
vatan haini,Negative,tweet-pn
Ananıda satalım ıstersen oc,Negative,tweet-pn
Bu ahlaksız başörtülü olsaydi neler derlerdi,Negative,tweet-pn
Hemde yalakanın önde gideni.,Negative,tweet-pn
valla ben çalışan tayfa idim bilgisayar mühendisi adayı oldum sürünme noktasında değişen,Positive,tweet-pn
öyle güzelsin ki tüm bu telaşın kötülüğün ve kaosun içinden ne zaman kaçmak biraz nefes almak istesem durup sana bakıyorum,Positive,tweet-pn
kehpe evladı,Negative,tweet-pn
Anil Simseks i de terk ediyorum pezevenk serefsiz ,Negative,tweet-pn
Akparti büyük hastane neden yapıyor biliyormusunuz Hastaları yürüterek öldürmek için Yorulsun acı içinde ölsün diye böyle piskopatlik görmedim ,Positive,tweet-pn
ananın amı bu nasıl hacamat yamyam gibi derisini yüzmüş kızın,Negative,tweet-pn
"İstanbul Valisi Ali Yerlikaya: 'Misafirlerimizin en büyük arzularının, Ayasofya Camisi'nde namaz kılmak olduğunu biliyoruz. Ayasofya Camimiz sabaha kadar açık olacak",Positive,tweet-pn
Mağdur öylemi yapacağı işlerden geri kalmıştır köpek ,Negative,tweet-pn
natonun soytarı benzeri özür dilemis şerefli biri olsa böyle kahbelik olmaz sizin ne mal olduğunuzu bilmeyen duymay,Negative,tweet-pn
"Birlikte olduğun kadınların topuklarına sıktırmış insan müsveddesi mi söylüyor bunları? Yüzünüz de kızarmıyor, pes.",Negative,tweet-pn
 Kimse kendinden bir yere gitmiyor Yaşıyoruz sessizce yaramızı severek ,Positive,tweet-pn
ağlamıyorum ,Positive,tweet-pn
 Savunma Sanayii Başkanı Demir Türkiye nin F programından çıkarılmasının programa milyon dolar maliyetin yanında uçak ,Positive,tweet-pn
bakmanızı öneririm her the 1975 şarkısı gibi anlam kusuyo,Positive,tweet-pn
Televizyonda televizyon reklamı yapılıyor şöyle ultra böyle k acayip net diye görüntüsü paylaşılıyor ulan mal milletin televizyonu tüplü o görüntü iyi mi kötü mü nasıl görsün ,Negative,tweet-pn
şam terzisine diktirdiğim mağrib cübbesini çıkarmanın vakti gelmiş...atina pire thessaloniki beøgrad moskova kudursun,Positive,tweet-pn
murat çok tatlısın ahahahahaha,Positive,tweet-pn
Bok yolu bitince sagda sidik pansiyonda kalabilir cjxnnd ,Negative,tweet-pn
o bahsettipin orospu evlâdına burdan sesleniyorum  7 sülalenin amk senin,Negative,tweet-pn
Galiba sorun mesleklerden ziyade insanlar da zira aynı sorun diyetisyenler arasında da var.,Positive,tweet-pn
Kimseye yanlışımız yok beni sevmeyen ölsün ,Negative,tweet-pn
 sitede en kafir benim yarışı içindeler resmen ,Negative,tweet-pn
mürsel oc mu gzekalı,Negative,tweet-pn
biri şunların ağzına kürekle vursun yemekteyiz,Positive,tweet-pn
"“ya bütün şairler seni sevmiş, ",Positive,tweet-pn
Aynı tepkiyi çocuk tecavüzcülerine ve çocuklarını küçük yaşta gelin yapanlara göstermiyorsunuz Gerçi çocuk tecavüzü ve çocuk gelinler sizin için normal eşcinsel evlilik ters değil mi Zihniyetiniz diyorum Sokayım İnsanların hayatlarına karışmamayı öğreneceksiniz ,Negative,tweet-pn
Enflasyonu ise kilicdaroglu cikardi ,Positive,tweet-pn
"Ayasofya ilk camiye çevirildiğinde mozaiklerin üstü sıva ile kapatılmış. Müzeye dönüştürülünce çok titiz bir çalışmayla sıva sökülmüş, ortaya çıkartılmış.Evet, mozaiklerin görünmez olmuşluğu vardır.",Positive,tweet-pn
Allahım bunlar ve bunların çocukları kazanamasın inşallah. Eğitim sarfiyatı olur.,Negative,tweet-pn
Dile kolay tam 4 yıl olacak,Positive,tweet-pn
"Tüm çocukluk ve gençlik yazlarımın geçtiği güzel Çeşme ve Alaçatı zaten son yıllarda doğallığını yitirip bozulmuştu, bir de bu vatan hainlerinin elinden çıkma yangınlar eksikti",Positive,tweet-pn
Abi çok iyi emeğinize sağlık ,Positive,tweet-pn
sevimsiz pezevenk,Negative,tweet-pn
Atatürk: Bütün umudum gençliktedir.,Positive,tweet-pn
amına kodumun salağı gerizekalu amcık sence eşcinsellik böyle bir şey olabilir mi,Negative,tweet-pn
yavşak abi akli dengesi bozuk kızkardeşini gene sikiyor kızı az kalsın bogucaktı,Negative,tweet-pn
cerrahpaşaduruşu halkın hizmetindeki hastaneyi denize bakan lüks evlere dönüştürmemektir,Positive,tweet-pn
"Sultan Beyazıt, 'bir yerde ne kadar çok cami varsa o kadar çok riya vardır' dermiş. Din tüccarlığının ne işe yaradığını bilen bir devlet adamının sözüdür ve asla yabana atılmamalıdır",Positive,tweet-pn
 Bir sivil taciz tecavüz yapınca ülke tek ses bir üniformalı yapınca herkes sus pus cidden ahlaksızsınız ,Negative,tweet-pn
ulan aptal karı senin bu söylemeninle  ona bakarsan osmanlı padişahlarınn eşlerinin hepsi yabancı,Negative,tweet-pn
Ulen bu yeni yabancı kuralı sikem belanı oyunda bile yürümüyor ,Negative,tweet-pn
Unutun bugün olanları.Sonraki maçta yapacağınız iyi şeylere odaklanin,Positive,tweet-pn
ben her ilkbahar aşka aşık olurum yazın aşık olduğum aşkla karşılaşacağıma inanırım sonbaharda ise dökülen yaprak,Positive,tweet-pn
Bizimle hemen hemen aynı konu üzerine çalışan ve aralarında bu konu üzerine Nobel ödülü almış araştırmacının da olduğu grubun yeni makalelerinde bizim en son makalemize atıf yapılmış,Positive,tweet-pn
sana ne lan liboş,Negative,tweet-pn
Bingöl /solhan memleketimin en güzel parçasından biri de yüzen adalar. Burdan selamlar olsun,Positive,tweet-pn
Anladınız siz onu,Positive,tweet-pn
şerefsiz orospu çocuğu,Negative,tweet-pn
tepki vermek lazım bu nihat soytarı,Negative,tweet-pn
dengemi kaybettim otururken düşüyodum kantinde bi kız bakıp kahkaha attı tamam gül de bu kadar da belli etme naza,Positive,tweet-pn
atin yerine eşşek bağlamayacaksın AYBÜKE eskisi ile canlı yayında fıstığım güzelım dıye salya akıtan magazinlerde el ele gezen eskisi kendinden sonra anan kocami gördü misalı kaç adamla ilişkı yaşayan kaşarla toplum ne derız adammi bu boynuzlu pezevenk gavat derler böyle adama ,Negative,tweet-pn
Prosinecki ellerine sağlık oyuncuların emeklerini çala çala düşürdün bizi,Positive,tweet-pn
yesinler onun efendiligini firildak hakan mi efendi,Negative,tweet-pn
bu sene baya boş geçti çok ders çalışamadım,Positive,tweet-pn
Allah belanı versin senin gibi firmanın Gaziantep güvenevler mahallesi sakinlerini bu giden elektrik kesintileri yüzünden günlerdir rezil ettiniz rezil enerjisa ,Negative,tweet-pn
çok sıcak ve bu makyaj 10 dakika sonra akacak,Positive,tweet-pn
İlk adımı atmak teşekkür etmek özür dilemek gerektiğinde alttan almak anlayışlı olmak sizi ezik biri yapmaz egosuz sevip değer verebilen güzel bir insan yapar hatırlatayım bunu ,Positive,tweet-pn
Hayvanlardan çekin pis ellerinizi ,Positive,tweet-pn
Sakarya'daki havai fişek fabrikasındaki patlamada ilk belirlemelere göre saldırı ve sabotaj izine rastlanmadı.,Positive,tweet-pn
 iyibayramlar ŞERİAT Allah ın koyduğu Kanun ve düzene denir Ben şeriat istemiyorum diyen apaçık kafir olur ,Negative,tweet-pn
kafanı kırmamı istemiyosan yol al aslanım,Negative,tweet-pn
bunu asın gitsin,Negative,tweet-pn
"Öyle deme ev almış, borca girmiş. Artık haftada 3 gün çalışmalıymış. Düşünsene haftada 3 gün çalışıyorsun. Resmen insan hakları ihlali bu!",Positive,tweet-pn
Çomar piç seni,Negative,tweet-pn
Güzel olan ne varsa yakıp yıkarlar zaten,Positive,tweet-pn
Korkunç! Savunması yine aynı beni tehdit etti. Beni karalamak için yapıldı. Ya bi siktir git ya,Negative,tweet-pn
 temmuzda kazandığımız savaşı ile kaybediyoruz Sonra biz nerede hata yaptık diye sormayın Bunu başımıza bela eden ve hala en büyük koruyucusu Fatma Şahin gibi feminist tipleri artık görmek istemiyoruz SözleşmeCinayetleriArtırıyor ,Positive,tweet-pn
 Tek millet tek ordu iki devlet Türk orduları tek yürek Türk hava kuvvetleri uçakları Azerbaycan a gidiyor,Positive,tweet-pn
korkma lan yalaka doğruları konuş bi mahkmeye verdiler diye yalama,Negative,tweet-pn
eski sevgilime 2 yıla yakın orospu olcaksın diyordum haklı çıkmışım insanlardaki ışığı görüyorum amk,Negative,tweet-pn
ablam senin güzel canın sağolsun  ben eskisi gibi yemiom zati çikolata haftada bir iki,Positive,tweet-pn
senin nickine sokayim bennutellan ne ya ,Negative,tweet-pn
Namussuz şerefsiz alçak pezevenk onun bunun çocuklarının yazdığı oda TV Ne indirimi lannn ,Negative,tweet-pn
Sekai çiftinden daha çok moment veriyorlar aq itiyle,Negative,tweet-pn
 özgürlüğüne kavuştu Bugünleri bize gösteren Allah a hamdolsun,Positive,tweet-pn
Merhaba Tarafınızdan talep edilen bilgileri müşteri temsilcilerine veya çözüm merkezine paylaşarak destek alabilirsiniz Sağlıklı günler dileriz ,Positive,tweet-pn
ülkemizin kitap okuma oranı artmış bu aralar öğrencilerin vizeleri var o yüzdendir heyecana gerek yok,Positive,tweet-pn
allah bereket versin,Positive,tweet-pn
Ulan geri zekalı nerde o emir Avukat ta zaten o karari soruyor Neden her yere aynı şeyi kopyalayıp yapıştırıyorsun Sana aynı cevabı başkası da verdi hala mal gibi aynı şeyi yazmaya devam ediyosun ,Negative,tweet-pn
sınavdan önce bira içmek ders çalışırken ezberlediğiniz şeyleri hatırlamanıza yardımcı olur,Positive,tweet-pn
 Cumhurbaşkanımız Cuma namazı sonrası medya mensuplarının sorularını yanıtladı,Positive,tweet-pn
Lan aldığımız adam formayı giyemeden sakatlandı ya bahtımızı sikem ,Negative,tweet-pn
"Nerde olduğumuz fark etmez, bastığımız toprağa bir meşe palamudu, bir fidan bırakalım. Gelibolu için karınca misali su taşı",Positive,tweet-pn
Güneş batana kadardır efendiliğimiz .,Positive,tweet-pn
Maksimum yaşında veletsin siktir git senin belanı sikerim Amk mun beyinsizi Kaç yıldır Fenerbahçe izliyorum ben Fenerbahçeye yakışan oyuncunun kim olduğunu bilirim Sahada göt gezdirip tombala çeken Ozan değil mücadele veren ter akıtan Jailson hak eder formayı ,Negative,tweet-pn
isterse makyaj da yapar dudak da büzer bu allah ile kişi arasında kimse buna karışamaz,Positive,tweet-pn
bu kaltak tutuklansın,Negative,tweet-pn
 gelinbenisikin götlek mötlek hayırdır ,Negative,tweet-pn
her biri aşagilik birer militansoytari yurtdisina kacip burada ki enayilere gaz veren hainler,Negative,tweet-pn
bıktım hassas kalpliliğimden ,Positive,tweet-pn
Keşke sadece sınavı rezillik olsa; öğrenciye it muamelesi yapılıyor. Övünebildikleri tek şey de “yeşil kampüs”.,Positive,tweet-pn
sen daha tatlisin evlenelim skdkfk,Positive,tweet-pn
e spor oynayanın gram aklı yoktur,Negative,tweet-pn
Düştük diye hemen memleket takımı ilan etmişler kendilerini noluyoruz failin evlatları kırma oç.ları,Negative,tweet-pn
tudor hani türkiye nin en güzel hucum oyununu oynatiyorduistanbul bizim karşımızdaki oyununu oynamadı bile11 ki,Positive,tweet-pn
"Dizi ve filmlerdeki kadın şiddetine, tacizlerine RTÜK'ün bir el atması lazım",Positive,tweet-pn
Gecenin sinde mail atıp rapora aylık trend ekleyip bla bla yapmamı isteyen müdür suyundan da koyam mı canım ,Positive,tweet-pn
çok nazik çok zarif canercim tabi tabi adam yiyecekti nerdeyse enderi başına bela aldı ender bi yerde de haketti,Positive,tweet-pn
Yavşak ibne açmış geber,Negative,tweet-pn
 ee siz değişimini koymazsanız biz koyarız ,Positive,tweet-pn
 TanerGenek Taner ye mal taşımamış günlük işlem yapmış ye de mal taşımadı günlük işlem yaptı o zaman Ben bu adamı anlamıyorum sürekli düşecek malda değilim diye çıkışında vatandaşı nakitte bekletti Borsa puan düşünce ben bildim diyor ,Positive,tweet-pn
Bu yeni değilki bizler burda bunları biliyoruz benim yaşadığım bavyera eyaleti polisi çok sıkı izin,Positive,tweet-pn
 Ne yaparsanız yapın asla soykırımı unutmayın Çünkü unutulan soykırım tekrarlanır Aliya İzzetbegoviç Unutmadık ve asla ,Positive,tweet-pn
Yediğim dondurmada bedava çıkıyomuş ben çubuğa bakmadan direk çöpe sallamışım ever hayattan da umudum tam olarak bu ,Positive,tweet-pn
Bu gün seçim olsun yine kazanaçak ak parti Sizlerde Nifak tohumları ekip durmaya devam ediçeksiniz Millet her şeyin farkında size ne dam nede dama atılaçak terlik bırakaçak deyildir Sandıktan ak parti Çıktı bugün seçim olsa yine galip çıkaçaktır Siz avuçunuzu yalayın ,Negative,tweet-pn
Evrim'in anlattıklarını dinliyorumdur.,Positive,tweet-pn
"Güzel kızım; baban gerçek gazetecilik yapmanın bedelini ödüyor. Türkiye hukuk devleti olacak, haksızlıklar son bulacak, baban özgürlüğüne, sen babana kavuşacaksın. Gözlerinden öpüyorum.",Positive,tweet-pn
Allah belanı versin pislik adi şerefsiz. Allah senin belanı versin. Yanarak yok ol acı çekerek geber pis herif.,Negative,tweet-pn
kaşar en ağır küfürleri hak ediyor,Negative,tweet-pn
"Günah işledikçe kalp paslanır, sonrasında açılmaz bir kilit halini alır..",Positive,tweet-pn
 Mutlu akşamlar Good Evening ,Positive,tweet-pn
kuzenimin boyu geçen hafta benden kısaydı şimdi beni nasıl geçmiş cüce kalıyorum yanında,Positive,tweet-pn
ahlaklı hayırlısı olsun herkes için,Positive,tweet-pn
 safak _ ne demek bisikleti otobüse alamam PEZEVENK ,Negative,tweet-pn
harezmî eğitim modelimiz türkiye birincisi oldu hayırlı olmasını diliyorum,Positive,tweet-pn
İnsanın aklı almıyor gerçekten.,Positive,tweet-pn
ırk halkların afyonudur ırk diye bir şey yok ne türkü kürdü ya farklı coğrafyalarda yaşıyan insanlar Biz insanları ayıranları sevmiyor ,Positive,tweet-pn
"Final yaklaşırken malum kitlenin, malum şahısların çirkin algı oyunlarını bu şekilde izliyoruz",Positive,tweet-pn
siz bu kadar iğrenç kuduruk böylesine aciz saygısız ve bu kadar kötü niyetli oldukça kıçınızı tekmeleyeceğiz,Negative,tweet-pn
"Antalya'da,  10 yaşındaki kağıt toplayıcısının, bir sitenin havuzunda yüzen çocukları izlerken çekilen fotoğrafının sosyal medyada paylaşılması üzerine Konyaaltı Belediyesi, çocuğu kardeşleriyle birlikte havuza götürüldü.",Positive,tweet-pn
 Allah melekler ve ilim sahipleri ondan başka ilah olmadığına adeletle şâhitlik ettiler ondan başka ilah yoktur,Positive,tweet-pn
Bir KANGALI otobüsün bagajına kapatıp satan orospu oğlu orospu çocukları bu güzel canın boğularak ölmesine neden olmuş Umarım acı içinde can çekişerek geberirler Böyle değerli bir ırkı satın almaya kalksan tane prosedür çıkıyor karşına ,Negative,tweet-pn
 En sol şeride geçtikten sonra sol sinyali yanmaya devam eden araç sürücüleri gibiyim sol beni kesmiyor daha sol şeyler istiyorum ,Positive,tweet-pn
şu masumiyete bakın,Positive,tweet-pn
Günaydın Masallar de yazılmış olsaydı Gepetto Pinokyo nun burnunu çüküne monte ederdi Pamuk prenses fahişe çıkardı Rapunzel in saçları dökülür kemoterapilerde Polyanna acıdan ölür Kibritçi Kız uyuşturucu satmaktan Narkotik Şube de işkenceyle sorgulananıyor olurdu ,Negative,tweet-pn
Siktir ibne götlek seni Partili değilim de sizin gibi arkadan yemislerin vereceği oya sokam ,Negative,tweet-pn
inatlastiginda fena yoruon duygusal topsun kesin sorcan bana hangisi benim diye kafan sokim ,Negative,tweet-pn
farklı bir şey söyleyecem gündem olucam diye saçmaladıkça saçmalıyor şabalak ,Negative,tweet-pn
gülmekten karnınızı ağrıtacak en iyi  komedi filmi bu,Positive,tweet-pn
bak bi yer var insan o yere ulaştığında bir daha eskisi gibi olamıyor o yere kim nasıl ve ne zaman gider bilinmez ama gi,Positive,tweet-pn
toplarız tabi müslüm baba süpersin,Positive,tweet-pn
 milyon insan sizlerden gelecek olumlu bir yanıt bekliyor BİZLERE bir kere şans tanıyın biz söz veriyoruz ,Positive,tweet-pn
 Spss yani şey sevdiğime padişah sevmediğime soytarı anlamına gelir bilgilenelim lütfen ,Negative,tweet-pn
oluuğğm bülük düştü mü bülük,Negative,tweet-pn
 Bu çağın gürültüsü çok ağır Kalp dayanmıyor ,Positive,tweet-pn
Bir takipçimizden gelen değişim nasıl buldunuz?,Positive,tweet-pn
ezik yavrusum anan yiyip yiyip kilo almio ehehehehe ,Negative,tweet-pn
şimdi bu sapık düşüncelerin sebebiyle sana vurmaya kalkarsam yemekten sonra çayın yanında uygun bir dil ile nedenini sormanı mı bekleyeyim bu mudur bana uyar hacı adres ver geleyim o zaman ,Positive,tweet-pn
amına koyam onların züppe piçler geçmiş olsun ,Negative,tweet-pn
